"ux","Points:0","Points:1","Points:2"
0.9938167,1.995,0,0
0.9723636,1.995,0.0198,0
0.9466709,1.995,0.0396,0
0.9199783,1.995,0.0594,0
0.8962924,1.995,0.0792,0
0.8715652,1.995,0.099,0
0.8469313,1.995,0.1188,0
0.8233684,1.995,0.1386,0
0.799155,1.995,0.1584,0
0.7746424,1.995,0.1782,0
0.7503158,1.995,0.198,0
0.7255159,1.995,0.2178,0
0.7004992,1.995,0.2376,0
0.6755254,1.995,0.2574,0
0.6503837,1.995,0.2772,0
0.6253549,1.995,0.297,0
0.6004966,1.995,0.3168,0
0.5757356,1.995,0.3366,0
0.551245,1.995,0.3564,0
0.5270985,1.995,0.3762,0
0.5032877,1.995,0.396,0
0.4798616,1.995,0.4158,0
0.4568647,1.995,0.4356,0
0.4343367,1.995,0.4554,0
0.4122829,1.995,0.4752,0
0.390736,1.995,0.495,0
0.3697542,1.995,0.5148,0
0.3493535,1.995,0.5346,0
0.3295371,1.995,0.5544,0
0.310236,1.995,0.5742,0
0.291544,1.995,0.594,0
0.2734972,1.995,0.6138,0
0.2560899,1.995,0.6336,0
0.2392444,1.995,0.6534,0
0.2229462,1.995,0.6732,0
0.207244,1.995,0.693,0
0.192047,1.995,0.7128,0
0.1773198,1.995,0.7326,0
0.1631561,1.995,0.7524,0
0.1493074,1.995,0.7722,0
0.1357671,1.995,0.792,0
0.1226527,1.995,0.8118,0
0.1094674,1.995,0.8316,0
0.09644735,1.995,0.8514,0
0.08395601,1.995,0.8712,0
0.07070677,1.995,0.891,0
0.05734873,1.995,0.9108,0
0.04500064,1.995,0.9306,0
0.0303479,1.995,0.9504,0
0.01572842,1.995,0.9702,0
