"ux","Points:0","Points:1","Points:2"
0.9868932,1.995,0,0
0.9692306,1.995,0.0198,0
0.9497671,1.995,0.0396,0
0.9303123,1.995,0.0594,0
0.9108689,1.995,0.0792,0
0.8914169,1.995,0.099,0
0.8719562,1.995,0.1188,0
0.8524881,1.995,0.1386,0
0.8330126,1.995,0.1584,0
0.8135299,1.995,0.1782,0
0.7940392,1.995,0.198,0
0.7745411,1.995,0.2178,0
0.7550367,1.995,0.2376,0
0.7355253,1.995,0.2574,0
0.7160069,1.995,0.2772,0
0.6964829,1.995,0.297,0
0.6769521,1.995,0.3168,0
0.6574165,1.995,0.3366,0
0.637875,1.995,0.3564,0
0.6183292,1.995,0.3762,0
0.5987789,1.995,0.396,0
0.5792238,1.995,0.4158,0
0.5596647,1.995,0.4356,0
0.5401022,1.995,0.4554,0
0.5205368,1.995,0.4752,0
0.500968,1.995,0.495,0
0.4813972,1.995,0.5148,0
0.4618235,1.995,0.5346,0
0.4422483,1.995,0.5544,0
0.422671,1.995,0.5742,0
0.4030919,1.995,0.594,0
0.3835123,1.995,0.6138,0
0.3639312,1.995,0.6336,0
0.3443491,1.995,0.6534,0
0.3247669,1.995,0.6732,0
0.3051837,1.995,0.693,0
0.2856006,1.995,0.7128,0
0.2660174,1.995,0.7326,0
0.2464345,1.995,0.7524,0
0.2268514,1.995,0.7722,0
0.2072688,1.995,0.792,0
0.187686,1.995,0.8118,0
0.1681044,1.995,0.8316,0
0.1485232,1.995,0.8514,0
0.1289428,1.995,0.8712,0
0.1093624,1.995,0.891,0
0.08978262,1.995,0.9108,0
0.07019919,1.995,0.9306,0
0.05057872,1.995,0.9504,0
0.03109585,1.995,0.9702,0
nan,1.995,0.99,0
